idsow,order_no,operation_no,ssbr_id,part_number,part_name,model,customer,location,wct_group,workcenter,operationtext,workcenterdescription,planhours,systemstatus,confirmation,status,finish_date,codenumber,weight,created_by,type,group,category,remark,sync,plan_start,plan_finish,actual_start,actual_finish,actual_progress,actual_hours
425892,1000085148,40,SDFP-33,,Spindle,,PT. BUMA,Site SDJ,HB,M5153CLT,Striping the thread  holes,,0.5,,,,,1.00009E+11,,,,1,,,,,,,,,
425275,1000085065,80,SDFP-34,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,SYG,M5153COR,Striping retainer faces,,2,,,,,1.00009E+11,,,,1,,,,,,,,,
425277,1000085065,110,SDFP-34,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,WM3,M5153WM3,Welding thrust washer face,,1.5,,,,,1.00009E+12,,,,1,,,,,,,,,
425276,1000085065,90,SDFP-34,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,QC2,M5153QC2,Check crack,,0.5,,,,,1.00009E+11,,,,1,,,,,,,,,
425281,1000085065,190,SDFP-34,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,HDR,M5153HDR,Handressing ,,0.5,,,,,1.00009E+12,,,,1,,,,,,,,,
425282,1000085065,200,SDFP-34,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,QC2,M5153QC2,Inspection,,0.5,,,,,1.00009E+12,,,,1,,,,,,,,,
425280,1000085065,150,SDFP-34,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,SYG,M5153COR,Machining thrust washer face,,1.5,,,,,1.00009E+12,,,,1,,,,,,,,,
425279,1000085065,140,SDFP-34,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,SYG,M5153COR,Machining retainer faces,,6,,,,,1.00009E+12,,,,1,,,,,,,,,
425278,1000085065,130,SDFP-34,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,WM3,M5153WM3,Welding retainer faces,,6,,,,,1.00009E+12,,,,1,,,,,,,,,
425274,1000085065,60,SDFP-34,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,SYG,M5153COR,Striping thrust washer face,,0.5,,,,,1.00009E+11,,,,1,,,,,,,,,
425273,1000085065,40,SDFP-34,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,QC2,M5153QC2,Inspection,,1,,,,,1.00009E+11,,,,1,,,,,,,,,
425272,1000085065,30,SDFP-34,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,SYG,M5153COR,Machining  bearing seat and end face contact area,,2,,,,,1.00009E+11,,,,1,,,,,,,,,
425298,1000085066,160,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,ASY,M5153ASY,Assembly flange and plain half differential,,1,,,,,1.00009E+12,,,,1,,,,,,,,,
425295,1000085066,130,SDFP-35,DTSC41035,Flange Half Differential,,PT. BUMA,SDJ,WM3,M5153WM3,Welding retainer faces,,6,,,,,1.00009E+12,,,,1,,,,,,,,,
